date,product_sku,quantity,unit_cost,total_cost,supplier_name,po_number,lead_time_actual,season
03/01/2024,CLUT-PLATE-100,83,120,9960,Jinan Clutch Assembly,PO-2024-0001,102,winter
03/01/2024,HEAD-LED-H4,55,280,15400,Wenzhou Headlight Co,PO-2024-0002,101,winter
04/01/2024,HDLB-RAISED-22,35,150,5250,Kunshan Handlebar Tech,PO-2024-0003,113,winter
07/01/2024,EXHS-BAJ-100,25,380,9500,Zibo Exhaust Systems,PO-2024-0004,104,winter
09/01/2024,CARB-KEI-VM17,18,650,11700,Jiangmen Carburetor Works,PO-2024-0005,102,winter
12/01/2024,BRKE-PAD-DISC,140,85,11900,Shanghai Brake Components,PO-2024-0006,121,winter
12/01/2024,BEAR-6202,708,38,26904,Zhongshan Bearing Works,PO-2024-0007,117,winter
13/01/2024,FILT-AIR-125,315,42,13230,Ningbo Filter Systems,PO-2024-0008,120,winter
15/01/2024,CABL-SPED-100,76,42,3192,Hangzhou Cable Manufacturing,PO-2024-0009,123,winter
17/01/2024,PIST-HONDA-125,158,350,55300,Qingdao Piston Manufacturing,PO-2024-0010,117,winter
21/01/2024,BATT-12V9A,44,980,43120,Shenzhen Battery Tech,PO-2024-0011,120,winter
21/01/2024,SPRK-NGK-BPR6ES,369,72,26568,Wuxi Spark Plug Factory,PO-2024-0012,121,winter
22/01/2024,CLUT-PLATE-125,56,145,8120,Jinan Clutch Assembly,PO-2024-0013,117,winter
24/01/2024,PIST-BAJ-100,168,320,53760,Qingdao Piston Manufacturing,PO-2024-0014,107,winter
25/01/2024,SPRK-NGK-BPR6ES,345,72,24840,Wuxi Spark Plug Factory,PO-2024-0015,103,winter
26/01/2024,TIRE-125-18,28,780,21840,Tianjin Tire Trading,PO-2024-0016,108,winter
26/01/2024,HDLB-RAISED-22,43,150,6450,Kunshan Handlebar Tech,PO-2024-0017,113,winter
29/01/2024,HEAD-HALO-H4,58,120,6960,Wenzhou Headlight Co,PO-2024-0018,110,winter
30/01/2024,BATT-12V7A,76,850,64600,Shenzhen Battery Tech,PO-2024-0019,122,winter
01/02/2024,SHCK-REAR-100,32,420,13440,Chengdu Shock Absorber,PO-2024-0020,92,winter
04/02/2024,CHAIN-420,101,120,12120,Chongqing Chain Industry,PO-2024-0021,88,winter
05/02/2024,BATT-12V9A,39,980,38220,Shenzhen Battery Tech,PO-2024-0022,92,winter
08/02/2024,CLUT-PLATE-100,59,120,7080,Jinan Clutch Assembly,PO-2024-0023,103,winter
12/02/2024,SPRK-NGK-C4HSA,545,65,35425,Wuxi Spark Plug Factory,PO-2024-0024,89,winter
13/02/2024,TIRE-100-18,44,650,28600,Tianjin Tire Trading,PO-2024-0025,105,winter
14/02/2024,SEAT-COMM-100,37,180,6660,Changzhou Seat Factory,PO-2024-0026,86,winter
17/02/2024,CABL-CLUTCH-100,111,55,6105,Hangzhou Cable Manufacturing,PO-2024-0027,102,winter
17/02/2024,ENGN-OIL-10W30,370,180,66600,Taizhou Engine Parts,PO-2024-0028,98,winter
19/02/2024,GASK-UNIV-125,202,150,30300,Guangzhou Gasket Factory,PO-2024-0029,85,winter
20/02/2024,FILT-OIL-100,447,45,20115,Ningbo Filter Systems,PO-2024-0030,86,winter
22/02/2024,FORK-SEAL-100,94,55,5170,Foshan Fork Components,PO-2024-0031,99,winter
23/02/2024,BRKE-PAD-DISC,182,85,15470,Shanghai Brake Components,PO-2024-0032,105,winter
24/02/2024,TANK-FUEL-10L,13,850,11050,Luoyang Tank Manufacturing,PO-2024-0033,88,winter
26/02/2024,CARB-KEI-VM17,22,650,14300,Jiangmen Carburetor Works,PO-2024-0034,102,winter
03/03/2024,CABL-CLUTCH-100,119,55,6545,Hangzhou Cable Manufacturing,PO-2024-0035,104,summer
04/03/2024,PIST-BAJ-150,109,450,49050,Qingdao Piston Manufacturing,PO-2024-0036,102,summer
05/03/2024,MIRR-ROUND-10,278,35,9730,Xiamen Mirror Industry,PO-2024-0037,103,summer
07/03/2024,FILT-AIR-100,483,38,18354,Ningbo Filter Systems,PO-2024-0038,86,summer
08/03/2024,FILT-AIR-100,498,38,18924,Ningbo Filter Systems,PO-2024-0039,87,summer
08/03/2024,TAIL-UNIV-A,90,95,8550,Yuyao Taillight Factory,PO-2024-0040,100,summer
10/03/2024,FILT-OIL-125,437,52,22724,Ningbo Filter Systems,PO-2024-0041,104,summer
10/03/2024,BEAR-6201,879,35,30765,Zhongshan Bearing Works,PO-2024-0042,101,summer
11/03/2024,TIRE-100-17,73,580,42340,Tianjin Tire Trading,PO-2024-0043,86,summer
11/03/2024,CABL-SPED-100,82,42,3444,Hangzhou Cable Manufacturing,PO-2024-0044,98,summer
11/03/2024,BEAR-6301,438,42,18396,Zhongshan Bearing Works,PO-2024-0045,88,summer
14/03/2024,PIST-HERO-100,195,280,54600,Qingdao Piston Manufacturing,PO-2024-0046,87,summer
14/03/2024,CHAIN-428H,69,180,12420,Chongqing Chain Industry,PO-2024-0047,89,summer
15/03/2024,FILT-OIL-100,512,45,23040,Ningbo Filter Systems,PO-2024-0048,97,summer
15/03/2024,FORK-SEAL-100,72,55,3960,Foshan Fork Components,PO-2024-0049,92,summer
19/03/2024,SPRK-NGK-C4HSA,608,65,39520,Wuxi Spark Plug Factory,PO-2024-0050,103,summer
21/03/2024,GASK-BAJ-100,345,120,41400,Guangzhou Gasket Factory,PO-2024-0051,98,summer
21/03/2024,BRKE-PAD-DRUM,170,65,11050,Shanghai Brake Components,PO-2024-0052,92,summer
